,label,question
67,2,조현 진단 문의 저희 회사 신입 사원 경력 채용 업무 하루 냄새 트름 사장 설명 트름 여드름 집중 케이스 사장 저희 사장 언니 직설 신입 본인 회사 스트레스 조현 진단 회사 책임 건가요 저희 사장 사장 출산 휴가 사장 전화 사장 본인 회사 출근 진단서 아침 회사 근처 사장 연락 혼자 마지막 사장 책상 진단서 조현 가능 건가요
68,2,우울 삽화 안녕 우울 불안 정신과 개월 우울 이상 지속 정신과 방문 치료 게임 우울 게임 극도 우울 저번 사람 우울 정상 생활 이번 상태 선생 이게 우울 삽화 우울 삽화
69,2,정신과 신경 정신과 차이 무엇 정신과 신경 정신과 차이 무엇 가요 관련 정신 분야 정신 의사 전공 분야 가요
70,3,스트레스 때문 이상 소리 최근 스트레스 그게 원인 이상 소리 신경 증상 계속 경우
71,2,정신 병원 스트레스 지수 검사 스트레스 검사 비용 정도
72,3,정신 병동 외박 외박 불안 우울 병원 리보 트릴 디아제팜 불안 처방 응급
73,6,불안 증후군 다리 학교 책상 책상 다리 충동 할머니 복달 아난다 다리 성인 다리 불편 불안 증후군 증상 증상 어머니 다리 불편 냉수마찰 요즘 육아 컨디션 정도 다리 불편 약물 치료 내성 악영향 불면증 약물 치료 피곤 못자
74,1,불면증 병원 저희 지역 불면증 병원 정신과 신경과 어디 정신 심리치료 소리 티비 불면증 때문 정신 사람 불안
75,2,신경 정신 서울 정신과 지방 증상 느낌 지방 병원 처방 느낌 근처 정신과 처방
76,4,눈물 여자 눈물 주체 정도 이거 방법 오늘 직장 눈물 방법 선생 조울증 조울증 증상
77,2,이것 불면증 학교 백수 자지 부모 출근 출근 오후 저녁 시간 피곤 하루 이틀 밤낮 정상 원점 방법 오늘 오후
78,2,조현 진단 문의 저희 회사 신입 사원 경력 채용 업무 하루 냄새 트름 사장 설명 트름 여드름 집중 케이스 사장 저희 사장 언니 직설 신입 본인 회사 스트레스 조현 진단 회사 책임 건가요 저희 사장 사장 출산 휴가 사장 전화 사장 본인 회사 출근 진단서 아침 회사 근처 사장 연락 혼자 마지막 사장 책상 진단서 조현 가능 건가요
79,2,우울 삽화 안녕 우울 불안 정신과 개월 우울 이상 지속 정신과 방문 치료 게임 우울 게임 극도 우울 저번 사람 우울 정상 생활 이번 상태 선생 이게 우울 삽화 우울 삽화
80,2,정신과 신경 정신과 차이 무엇 정신과 신경 정신과 차이 무엇 가요 관련 정신 분야 정신 의사 전공 분야 가요
81,3,스트레스 때문 이상 소리 최근 스트레스 그게 원인 이상 소리 신경 증상 계속 경우
82,2,정신 병원 스트레스 지수 검사 스트레스 검사 비용 정도
83,3,정신 병동 외박 외박 불안 우울 병원 리보 트릴 디아제팜 불안 처방 응급
84,6,불안 증후군 다리 학교 책상 책상 다리 충동 할머니 복달 아난다 다리 성인 다리 불편 불안 증후군 증상 증상 어머니 다리 불편 냉수마찰 요즘 육아 컨디션 정도 다리 불편 약물 치료 내성 악영향 불면증 약물 치료 피곤 못자
85,1,신경 정신과 질문 우울증 때문 신경 정신과 사람 치료 정도 증상 병원 선생 병원 인수 사람 병원 비용 병원 선생 신뢰 필요 상태 점검 필요 상황 병원 상담 포함 원대 후반 상담 정도 상담 상담 얘기 추가 약값 겁니다 병원 병원 추가 추가 비용 병원 금액 건물 상황 동네 구석 이번 장한평역 병원 혼자 병원 페이 닥터 직원 원장 의사 그것 차트 상태 검사 정도 상담 병원 계산 겁니다 정도 비용 겁니다 초진 정신 근무 간호사 의원 병원 의원 병원 환자 직원 항의
86,5,신경과 정신 차이 신경과 질병 코드 처방 정신과 질병 코드 처방 차이 공무원 임용 취직 이익 기타 사회생활
87,1,정신 치료 기록 질문 대학 병원 신체 검사 신체 검사 정신 치료 이익 사실 여기저기 정신 기록 치료 내용 본인 이외 열람 사실 질문 정신 치료 흔적 아무 건가요 의사 컴퓨터 소리 사실
88,2,군대 조치 불면증 귀가 치료 기간 병원 동반 입대 신청 가능
89,3,정신 의사 선생 얼마 처음 정신과 스트레스 몽유병 사람 이야기 아저씨 정신 의사 선생 이야기 모습 이게 건가요 이야기 구체 모습 새부 이야기 건지
90,5,수면 두통 피로감 병원 의사 선생 시간 피곤 증거 못자 건지
91,3,정신 진료 정신 상태 관련 병원 비용 문의 정신 이상 병원 증상 병원 퇴사 휴직 직장 병원 진료 병명
92,2,악몽 요즘 악몽 시간 주정 지속 내용 그것 아침 차원 세상 느낌 정도 내용 가지각색 무엇 압박 대부분 누군가 최악 때문 화장실 때문 새벽 새벽 악몽 화장실 질문 상황 심리치료 정신 치료 상황 혼자 치료 가능 만약 병원 치료 치료 비용 치료 기간 정도 정신 치료 답변 부탁
93,4,다리 기분 정도 불면증 요사이 신경 다리 기분 정도 불면증 요사이 신경 우울증 일상 생활 병원 검사 주심 감사
94,3,정신 건강 의학 진단서 발급 질문 불안 우울 증상 정신 건강 학과 진료 직장인 개월 진료 다음 진단서 발급 주변 병원 개인 병원 발급 병원 종합 병원 소견 가능 진단서 주변 진료 진료 기간 반년 진단서 발급 가능 진단 특수 병원 발급 비용 주변 건가요 정확 답변 부탁 감사
95,2,불안 장애 여자 대학생 잔걱정 요즘 걱정 부정 생각 불안 눈물 눈물 심장 식은땀 증상 하루 부모 말씀 시험 스트레스 때문 긍정 생각 긍정 생각 자체 눈물 작년 시험 증상 평생 몇일 바람 상태 극단 생각 부모 병원 부모 스트레스 때문 상황 부모 생각 상황 시험 스트레스 때문 시험 증상 병원 치료 증상 치료 정신과 하나
96,4,강박 안녕 초반 남자 강박 증이 평소 이게 중학교 학년 안경알 물질 안경 마음 반복 안경 상관 시간 강박 하나 강박 특정 행동 반복 마음 추가 특정 행동 반복 마음 불안 부정 스스로 스트레스 가지 물질 중학교 이후 반복 시간 이상 행동 강박 정도 정신과 상담 치료
97,1,병환 아버지 정신 질환 의심 아버지 당뇨 합병증 투병 병원 입원 거동 불편 양안 실명 정신 최근 어머니 의처 증세 건강 증세 하나 자식 이젠 자식 친척 이야기 병원 실명 근거 한달전 이모부 어머니 관계 모습 그걸 기정사실 얼마 어머니 병실 하루 종일 시간 정도 어머니 쌍욕 문제 이모부 이모 전화 관련 욕설 가족 관계 이외 증상 콧물 휴지 콧물 가래 콧속 휴지 휴지 조금 정도 하루 정도 편집증 증상 아버지 정신 상담 이야기 기본 지식 만약 증상 치료 가능 런지
98,2,불면증 최근 주정 시간 정도 번은 여분 소요 느낌 느낌 피로 불면증 증세 불면증 정신 학과 내과
99,2,수면 장애 야간 타임 오후 개월 정도 처음 빵꾸 시간 정도 다음 정오 출근 회식 친구 한잔 시간 자동 피곤 하루 종일 시간 정도 다음 초저녁 다음 오후 오후 운동가 생활 리듬 엉망 건강
100,5,항우울제 불안 부작용 강박 병원 복용 불안 증세 심해 불안 강박 증약 이게 항우울제 일종 의사 선생 세로토닌 관련 처음 효과 불안 강박 정인 사고 문제 아침 저녁 그때 머리 하늘 이상 느낌 불안 증세 이거 금단 현상 건가요 선생 상태 정도 주변 정도 계시 구요
101,4,정신 의사 선생 질문 불면증 때문 정신과 은지 이젠 부작용
102,4,정신 병력 조회 방법 결혼 상대방 정신 병력 조회 방법 어디 구체
103,3,질문 판정 복용 대학생 증상 의지력 집중력 부족 복용 아동 처방 복용 의사 처방 필요 성인 정도 하루 느낌 겁니다 방법 개인 거기 공부 특성 부작용 의사 화학 관련 전공 작용기 사람 전문 지식 사양 느낌 영화 리미트리스 정도 정도 욕구 자신
104,2,정신 치료 주일 군대 정신 문제 조취 정신 치료 필요 치료 병원 정신 치료
105,4,환상 잠결 비몽사몽 새벽 이상 환상 벌레 비둘기 시작 일전 방안 사람 주변 병원 환상 이유 뭘까요 문제 걸까요
106,5,군대 면제 질문 정신 개월 정도 면제 병명 진단서 확인서 임상 심리 테스트 검사 병원 사회 공포증 사람 심장 현제 항우울제 복용 정도 면제 가능
107,2,아빠 조현 저희 아빠 조현 오랫동안 상태 악화 병원 입원 환경 병원 치료 담당 호전 가족 면회 엄마 마지막 생각 전환 호전 면회 의사 가능 가요
108,4,성격 정신 병원 여잔데요 눈치 소극 사람 은둔 외톨 성향 사람 마음 친구 행동 거짓 가식 학교 피곤 왕따 지금 친구 어딜 찐따 성격 친구 관계 우울증 성격 애초 정도 사회 부적응 생활 만족 정신 병원 치료
109,5,우울증 치료 우울증 병원 방문 복용 정도 유니 작정 복용 시작 정신 설사 록스 시간 왼쪽 귀울림 오심 곤란 반응 부작용 말씀 처음 복용 복용 부작용 다음 복용 부작용 용량 우울증 용량 건가요
110,2,이거 환청 스트레스 신경 하나 누가 혼자 느낌 고조 환청 경우 남녀 목소리 남자 흉내 소리 환청 인지 정신 문제 건지 일시 현상 건지 걱정
111,2,수면 리듬 평소 하루 시간 근래 리듬 느낌 평소 저녁때 이거 방법 아침 정신 정신 리듬 방법 침대 시간 동안 한숨 하루 이틀 하루 못자
112,2,정신 진료 기록 상담소 어머니 그때 기록 약물 처방 신검 그때 상담 정신과 진단서 예전 상담 기록 전화 기록 진단서 상담소 군데 올해 대학 서울 부모 대구
113,1,신경 정신 보험 적용 보험 적용 비용 보험 건가요 보험 신경 정신 치료 보험 적용 보험
114,1,정신 상담 최근 이상 신경 짜증 예전 대수 생각 최근 짜증 때문 주위 피해 스스로 그간 참고 최근 스트레스 스트레스 여유 긴장 걸까 정신 상담 비용 비용 예전 효과 정신과 상담 지식인 문의
115,5,알프 정은 정신 건강 학과 사용 보편 알프 처방 정신과 사용 보편 일반 정신과 사용 정도
116,4,걱정 불면증 대학 초등 학교 학년 지각 결석 나름 성실 문제 지각 이유 하나 다음 걱정 다음 생각 은연중 새벽 난리 알람 걱정 마인드
117,3,전문의 답변 강박 불안증 신경 정신과 약물 치료 예전 예전 강박 증이 불안증 우울증 경우 피곤 무기력증 평상시 피곤 무기력증 연관 답변 감사
118,2,정신 보험 진료 처방 정신과 진료 기록 처방 기록 병원 처음 내원 신상 기록 종이 주민 번호 뒷자리 보험 진료
119,4,정신 과약 부작용 질문 리페리 환인 벤즈 건조 현상 자기 건조
120,5, 메타 데이트 복용 개월 시험 준비 하루 종일 공부 상황 시간 정도 집중 시간 다리 느낌 두근거림 때문 집중 증상 내과 신경과 중단 중단 상태 중단 두근거림 의지 상황 그것 복용 용량 해결 문제 복용
121,3,불면증 기록 한달전 불면증 취업 지장 병원 정신과 불면증 기록 취업 불리 작용 증상 오전 시간 정도 자게 불면증 불면증 치료 진행
122,5,무엇 때문 후반 지금 회사 점심 휴식 시간 건지 짜증 방법 가요 답변 부탁 감사
123,5,인데 부작용 연주 부작용 생리 건가요
124,2,정신 병원 진료 기록 정신 병원 진료 기록 취업 이익
125,2,정신 병원 시청 가능 정신 병원 제한 시청 면회
126,2,정밀 심리 검사 질문 안녕 최근 정밀 심리 검사 대학 연말 정산 부모 작년 치과 보험 처리 치과 어디 보험 처리 부모 대학 병원 정밀 심리 검사 대학 병원 의료 기관 진료 뢰서 이건 건가요 신경 정신과 건가요 심리 상담 센터 발급 하루 시간 하루 검사 건가요 결과 검사 하루 선택 진행 심리 검사 선택 건지 상담 병원 검사 답변
127,6,빌리 파이 체중 증가 가능 빌리 파이 에서 체중 사람 체중 증가
128,3,군대 조치 정신 우울증 조치 정신과 병원 입원 말씀 학교 장기간 입원 약물 치료
129,2,정신 치료 설득 고민 저희 가족 망상 환각 환청 사람 조사 조현 일치 치료 권유 거부 강제 입원 방법 교사 교대 학년 재학 휴학 횟수 사용 가족 조현 치료 사람 설득 얘기 방법 본인 의지 가게 답변 부탁
130,5,항우울제 복용 병원 하나 병원 시간 우울증 치료 복용 약국 구입
131,4,과민 대장 증후군 항우울제 처방 도움 과도 스트레스 과민 대장 증후군 상태 하루 의존 식습관 생활 습관 운동 노력 정도 느낌 결과 상태 만족 겁니다 가지 항우울제 과민 대장 증후군 도움 내용 발견 이게 정말 질문 사실 과민 대장 증후군 우울증 도움 어디 처방 감사 도움 추천 감사
132,1,정신 보험 관련 머리 불안 증세 정신 학과 방문 가지 질문 정신 보험 가격 얼마 정도 방문 기록 보험 가입 사실
133,6,쎄로 로켈 방정 차이점 쎄로 로켈 방정 건가요 효과 차이
134,2,우울증 정도 소규모 업체 회사원 직업 특성 퇴근 시간 휴일 규칙 평일 저녁 야근 저녁 주말 출근 주말 야근 순간 감정 기복 타인 대화 긍정 공감 우울 눈물 기도 부정 비관 생각 돌파구 응원 위로 그것 지대 정신과 진료 상담 병원
135,4,처방 우울증 안녕 우울증 우울증 예전 처방 세틴 염산염 여름 기억 유통 기한 처방 걱정 답변 부탁
136,5,무엇 때문 후반 지금 회사 점심 휴식 시간 건지 짜증 방법 가요 답변 부탁 감사
137,5,인데 부작용 연주 부작용 생리 건가요
138,2,정신 병원 진료 기록 정신 병원 진료 기록 취업 이익
139,2,정신 병원 시청 가능 정신 병원 제한 시청 면회
140,2,정밀 심리 검사 질문 안녕 최근 정밀 심리 검사 대학 연말 정산 부모 작년 치과 보험 처리 치과 어디 보험 처리 부모 대학 병원 정밀 심리 검사 대학 병원 의료 기관 진료 뢰서 이건 건가요 신경 정신과 건가요 심리 상담 센터 발급 하루 시간 하루 검사 건가요 결과 검사 하루 선택 진행 심리 검사 선택 건지 상담 병원 검사 답변
141,6,빌리 파이 체중 증가 가능 빌리 파이 에서 체중 사람 체중 증가
142,3,군대 조치 정신 우울증 조치 정신과 병원 입원 말씀 학교 장기간 입원 약물 치료
143,2,정신 치료 설득 고민 저희 가족 망상 환각 환청 사람 조사 조현 일치 치료 권유 거부 강제 입원 방법 교사 교대 학년 재학 휴학 횟수 사용 가족 조현 치료 사람 설득 얘기 방법 본인 의지 가게 답변 부탁
144,5,항우울제 복용 병원 하나 병원 시간 우울증 치료 복용 약국 구입
145,1,웃음 전염 웃음 전염 이건 진짜 이번 농구 올스타 웃음 때문 방송사 고난 영상 그거 아무것 웃음 전염 사람 공감 능력
146,2,우울증 진단서 정신과 상담 상담 우울증 진단서 진료
147,5,무대 공포증 파스 무대 공포증 대설 공포증 때문 심장 떨림 처방 효과 파스 데파 스도 역할 가능 한약
148,4,공황 장애 정보 알약 검색 효과 부작용 답변 부탁
149,2,정신 진료 기록 정신 진료 기록 공무원
150,5,질병 분류 코드 질문 정신과 질병 분류 코드 내용 상세 불명 우울 에피소드 이게 우울증 건가요 정도
151,2,도박 중독 조언 작년 여름 정도 도박 부모 백만 정도 생각 대출 지인 정도 부모 죄책감 하루 개월 평균 정도 이게 회사 사람 아버지 사람 도박 때문 얘기 수치심 얼굴 반장 말씀 저번 도박 장담
152,3,정신 과약 감기약 정신 과약 코막 기침 때문 감기약 감기약 정신 과약 사람 복용
153,4,졸로 푸트 긴장 성격 체중 위염 구토 군대 기전 사고 우울증 복무 기간 동안 병원 졸로 푸트 주력 복용 제대 시기 약도 자연 저약 복용 당시 구토 증상 완화 체중 의식 사이 대후 성격 체중 체중 기관 복용 우울증 처방 정과 푸트 정중 체중 증가 관여 무엇
154,4,기면증 수면 검사 시도 무기력증 시점 지속 일상 생활 지장 집중력 처방 수면 다원 검사 확진 판정 처방 일반 상담
155,3, 동안 가위 이번 가위 꿈속 가위 가위 상태 느낌 상태 가위 이상 느낌 느낌 가위 이상
156,4,기억력 문제 학생 기억력 예전 정도 아침 점심 저녁 무얼 기억 예삿일 핸드폰 가족 통화 핸드폰 경험 공책 가방 비일비재 주일 병원 후각 검사 냄새 가지 검사 냄새 기억 절반 엊그제 비밀 번호 기억 가족 무엇 가족 생일 친구 이름 기억 공부 대학 청춘
157,3,사회공포증 사람 표정 입술 립니 목소리 목소리 목소리 얼굴 사람 거립니다 친구 포함 사람 대화 시선 이익 이익 용기 사람 대학 생각 이거 사회공포증 대인 기피
158,3,여자 아이 동영상 여자 아이 동영상 여자 남자 성기 기억 아이 오줌 시간 티비 행동 경찰 아저씨 걱정 얘기 아이 충격 생각 때문
159,5,불안 증후군 원인 다리 불편 불안 증후군 원인 다리 불편 거도 쉬원 짜증 느낌 표현 불안 증상 불안 증후군 원인 뭔가요 당황 병원 건가요 답변 부탁 드립 감사 불안 증후군 원인 치료 방법 병원
160,2,도박 중독자 특징 도박 중독자 특징 아버지 도박 중독 행동 패턴 등등
161,3,신경 정신 치료 필요 중반 여성 사이 정도 불면증 신경 정신 상담 의사 선생 우울증 치료 치료 기분 부모 친구 얘기 우울증 고민 폭식 외출 부모 제외 생각 문제 직장 대요 사람 이듭 낯가림 이젠 함감 무시 기분 위축 편의점 다이어트 문제 문제 걸까요
