,answer,category,question,title
10,"안녕하세요. 대한의사협회·네이버 지식iN 상담의사 권용석 입니다.

현재 다니는 병원이 1,2차 의료기관이고 옮기려는 병원이 그 보다 상급 의료기관이라면 진료의뢰서가 필요합니다. 진료를 오래 보셨다면 드시는 약이나 검사 결과, 진료 내용을 함께 첨부하면 좋은데 이것은 의무기록사본을 요청하시어 발급받으시면 됩니다. 의무기록 사본은 의무사항은 아닙니다.

진료를 받고자 하는 의료기관에 미리 문의하시어 필요한 서류를 확인하시는 것이 가장 정확하겠습니다.",신경과,"지금 다니는 병원의사를 못믿겠고
큰병원으로 옮기려는대 필요한 서류가 있을까요?",정신과 병원옮기려는데 필요한 서류있어요?
11,"안녕하세요. 대한의사협회·네이버 지식iN 상담의사 권용석 입니다.

지적장애판정을 위한 질문을 하신 것 같습니다. 상황이 좋지 못한 것 같아 안타깝습니다.

장애 판정을 위해서 필요한 지능검사 등은 마친 것 같은데 최근 진료기록이 없는 것이 문제인 것 같습니다. 일반적으로 지적장애 판정 뿐 아니라 다른 경우의 관공서 등록에 있어서 보통 최근 2-3개월의 진료기록을 필요로 하는 경우가 대부분입니다. 물론 지적장애의 경우 장애가 영구적이며 큰 변화가 없지만 이것은 의학적인 접근이며 행정 절차와는 별개의 것입니다.
 정말 안타깝지만 신청 2-3개월 전의 진료 기록은 첨부하셔야 할 것같으며, 최근 진료기록이 없는 상태에서 장애판정 여부가 가능한 지에 대한 부분은 병/의원에서는 도움을 드릴 수 없는 부분입니다.

비보험으로 진료를 받으신 이유가 무엇인지 모르겠지만, 비용에 대한 부분은 건강보험의 적용을 받을 수 있는 부분이 있으니 비용부담을 최소로 하시면서 일정기간 진료하시는 것을 권해드립니다.",정신건강의학과,"안녕하세요 ..

남편이 초중고를 일반 특수 학급반에서 진학하여 졸업을 하였습니다.
초중고 생활기록부에는 어디에도 특수 학급반을 다녔다는 증거가 없는데요.
고등학교 현재 특수학급반 선생님께 알아보니까 일반 특수학급에 부모님들이 보내는 이유는
내아이가 장애아라는 사실이 아니라고 생각하는경우와 몰랐으면 하는 이유로 보낸다고 하더라구요
최근 서류를 떼려고 하는데 이미 고등학교 졸업한지 10년이 지났는데 ..
일반 특수학급 고등학교에서는 보존 기한이 5년이고 그후엔 폐기가 되고 특수학급 같은경우는 영구적으로 보존이 된다는 말을 들었습니다.

지금현재 남편이 사회생활을 전혀 할수 없어서 제가 돈을 벌어서 생활 하였는데..
최근에 임신을 하여 갑작스럽게 회사를 그만 두면서
남편이 평범한 회사에서는 전혀 사회생활을 할수없는 상황 입니다.
 글을 쓰고 읽는게 전혀 안되거든요..

동사무소를 찾아가서 남편에게 맞는 일자리가 있는지 알아보던중  
장애 등록증 얘기를 하셔서 알아 보았습니다.
장애 등록증을 받아 놓는게 좋다고 얘기를 해주셔서 ..
동사무소에 알아보니 .. 병원진료기록과  검사결과지가 필요하다 하여 ,,
돈이 없지만 빌려서 검사결과를 받았는데 지적장애 점수결과가 40점이 나왔습니다.
그래서 제출을 하였는데 그동안에 병원진료 기록지도 필요하다 하더라구요..

저는  지금 남편이 돈을 벌어 오지 못하는 상황이고
병원갈 엄두 조차 나지 않았습니다.

결혼하고 1년정 지나고부터 남편이 조금씩
 우울증을 동반해서 기분이 하루에도 좋았다 나빴다  하더라구요.
그때는 별로 대수롭지 않게 생각 했습니다 .

 그런데 시간이 지날수록 점점 어느날은 머리가 아프다며 벽에 머리도 박고 ..
칼을 들고 방으로 들어가서 문을 잠그고 열어주지도 않고..
약도 손에 잡히는대로 한번에 많이 먹어 병원에 가고 ..

정말 안되겠다 싶어서 이러다 진짜 남편이 잘못될꺼 같아 겁이 났습니다.
그래서 정신의학과를 찾아가 진료를 받았습니다.
그래서 아주버님 도움으로 2016년도 2월부터 3개월 정도 다니게 되었습니다.
정신의학과는 비보험이라서 병원비가 한번 갈때마다 약값에 5만원 이상이었습니다..
저희 현재 사정으로는 도저히 감당이 안되서 병원치료를 중단 하게 되었습니다.

진료 기록지를 꼭가져와야 한다고 해서 2016년 3개월 다녔던 진료 기록지와
이번에 검사받기전에 초진 진료 기록서 검사 결과서를 가지고 제출하였는데..
동사무소에서 진료 기록이 그후엔 없냐고 얘기해서 ..
저희 사정을 얘기 하며 돈이 없어서 못갔다고 하니까
최근에 진료 기록이 없기 때문에
장애등록 판정 받는게 어려울수 있다고 얘기하더라구요..
이런경우 장애등록증 받기 정말 힘들까요?
그리고  장애등록판정이 안나오게 된다면 저희가 할수 있는 다른방법은 없을까요?

정말 절박 합니다 .
도와주세요.",정신장애 지적장애 등록 판정 신청해 놓은 상태입니다 도와주세요
12,"안녕하세요. 대한의사협회·네이버 지식iN 상담의사 권용석 입니다.

벨빅(로카세린)은 특정(2C) 세로토닌 수용체에 선택적으로 작용하는 비만치료제로 식욕 저하 효과를 주 목표로 하여 개발되었습니다.

중요한 것은 바로 이 ""선택적""이라는 것인데, 치료 용량 안에서는 선택적으로 작용해서 식욕만 저하시키는 효과가 강력하지만, 용량이 초과하여 작용할 때는 ""선택적"" 기능이 떨어져 다른 세로토닌 수용체(2A)에도 작용하게 됩니다. 이 경우에 환청, 행복감, 해리와 같은 증상이 나타날 위험이 높아집니다. 또 치료 용량 안에서 사용할 경우에도 우울감, 자살사고를 유발하기도 합니다.

따라서 조울증 진단이 확실하거나 가능성이 높은 경우에는 벨빅 사용은 금기는 아니지만 매우 신중하게 사용해야 합니다. 단순이 약물의 용량만으로 체내 농도가 정해지는 것이 아니며 많은 요인을 통해 기분변화를 유발할 수 있기 때문입니다. 기분 변화 가능성을 고려해서 주치의 선생님과 여러가지 충분한 상의후 결정하는 것이 좋겠습니다.",정신건강의학과,"담당 정신과의사샘은 어떤 다이어트약도 안된다고하셨는데


동네 의원가니깐 조울증인데 벨빅은 괜찮다고 하더군요.


어떻게 해야하나요??


조울증 환자데 벨빅먹어도되나요?",조울증인데 벨빅먹어도되나요??
13,"안녕하세요. 대한의사협회·네이버 지식iN 상담의사 권용석 입니다.

작성하신 정신건강의학과 처방약과 소염진통제, 타이레놀은 함께 드셔도 괜찮습니다.
다만 생리통에 사용하는 단기간, 그리고 소량일 경우에 한하며, 장기간이나 과량 복용은 간기능, 신장기능에 무리가 갈 수 있어 사용을 피하는 것이 좋습니다.

복용하시는 약 중 수면제 용도로 처방하는 약물은 없으며, 향정신성의약품에 속하는 약물도 없습니다. 그렇지만 카세핀정 100mg은 졸리움, 어지러움 등을 유발할 가능성이 높은 약입니다. 간혹 푸로작에도 비슷한 경험을 갖는 경우도 있습니다.",정신건강의학과,"전19살인데 생리통이 심해서 그러는데요 제가
먹고있는 약중에 타이레놀이나 소염진통제랑
같이 먹으면 안되는 약물들이 있나요?

정신과약: 푸로작캡슐20mg
카세핀정100mg
아빌리파이정2mg
인데놀정40mg

비뇨기과약:하루날디정0.2mg
베타미가정50mg
베시케어정10mg
을 먹고있는데요 이약중에 타이레놀이나 소염진통제랑 같이 먹으면 안되는 약들이 있나요? 그리고 궁금해서 그러는데요 제가 입력한 정신과약 중에서 수면제 가있나요? 오늘안에 답변부탁드려요 전문가분들 아니면 답변채택 사절합니다",SSRI(항우울제)랑 타이레놀 복용
14,"안녕하세요. 대한의사협회·네이버 지식iN 상담의사 권용석 입니다.

다한증에 대해 특정 진료과목에서 진료하는 것이 정해진 것은 아닙니다.
그렇지만 일반적으로 다한증은 일반외과에서 전문적으로 진료를 하는 곳이 많습니다. 그런데 땀이 나는 상황이 과도한 불안과 긴장 등의 상황에서만 발생한다면, 불안을 떨어뜨리는 치료를 정신건강의학과에서 할 수는 있겠습니다.",정신건강의학과,"제가 무엇인가에 집중을 하면 손발에 땀이 많이 납니다 그래서 제가 자주 쓰는 물건엔 땀 때문에 때가 계속 눈에띄게 묻어있을정도인데

정신과에서 다한증도 치료를 해주나요?",정신과 다한증
15,"안녕하세요. 대한의사협회·네이버 지식iN 상담의사 권용석 입니다.

귀가조치 후 6개월 진료를 해야 하는 경우 반드시 입원치료를 해야하는 것은 아닙니다.

하지만 병역문제나 법적문제와 같이 객관적이고 신뢰성이 높아야 하는 진료에는 일정기간 경과를 관찰해야 할 필요가 있기 때문에 입원치료를 권하기도 합니다.

또 어떤 사유로 귀가조치가 되었는지 작성하신 글에서 확인할 수 없지만 일부 증상, 질환의 경우는 반드시 입원하여 확인을 해야 하는 경우도 있습니다. 진료받으신 대학병원에서 입원치료 필요성에 대해 구체적으로 질문하시고, 내용 확인후 결정하시면 좋겠습니다.",정신건강의학과,"어제 대학병원가보니까 진료기록도없고 정신과 처음이라고하니...

2~3주 입원치료하자는데 꼭 해야되는건가요??

병원비도 만만치않고 많이부담되는데...

입원치료 거부하고 그냥 6개월동안 통원치료 하면 안될까요...??",훈련소 귀가조치로인해 정신과 6개월치료 진단받았는데 꼭 입원해야되나요???
16,"안녕하세요. 대한의사협회·네이버 지식iN 상담의사 권용석 입니다.

수면장애는 수면의 문제로 일상생활 기능에 영향을 미칠때 진단을 내립니다.
작성하신 글만 가지고는 정확한 진단을 내리기보다 수면리듬에 문제가 있다고 생각이 됩니다.

낮잠을 자는 이유가 야간 수면 시간이 부족하거나, 시간은 충분하더라도 질이 좋지 않은 것일 수도 있습니다. 혹은 주의력 저하로 인한 낮동안의 졸리움을 경험하는 것일 수도 있습니다. 혹은 그 외의 이유로 주간 졸리움을 경험할 수도 있으니 이에 대한 것은 가까운 정신건강의학과를 방문하여 평가받는 것이 좋겠습니다.

지금 당장 수면 리듬을 조절하는 가장 기본적인 방법은 낮잠을 자지 않는 것입니다. 낮에 졸리더라도 30분 이내로 잠을 자야 하며, 이는 낮잠이 전날 못잔 것을 보충하는 것이 아니라 그 날의 수면에 좋지 않은 영향을 주기 때문입니다. 또 수면 시간이 얼마가 되든 아침에 같은 시간에 기상하는 습관을 들이는 것도 매우 중요합니다.

이와 같은 생활 습관 변화로도 도움이 되지 않는다면 말씀드린 것처럼 전문가의 도움을 받는 것이 좋겠습니다.",정신건강의학과,"신체 건강하고 흡연 안합니다.

밤 11시~1시 쯤 잡니다.

아침 7시에 일어나면 뇌가 뿌옇습니다. 일상생활에도 지장이 있습니다.

도서관에서 낮잠을 최소 2시간, 많게는 4시간 가량을 깼다 잤다를 반복합니다.

점심먹고 낮이 되어서야 서서히 뇌가 맑아지는 것 같기는 합니다.

수면 장애인가요? 운동도 도움이 되지 않습니다.",이 증상 수면장애인가요?
17,"안녕하세요. 대한의사협회·네이버 지식iN 상담의사 권용석 입니다.

정신과에서 처방되는 약품은 전문의약품으로 의사의 처방이 있어야 사용이 가능하며, 일부 약물은 향정신성의약품으로 관련법에 의해 관리되고 있는 약일만큼 사용에 주의가 필요합니다.

작성하신 약물중에는 향정신성의약품(alprazolam)과 함께 기분안정제로 쓰이는 항경련제(depakote), 항우울제(lexapro)가 포함되어 있습니다. 일반적으로 사용하는 용량 범위에 있지만 관련 증상이 있는 경우에 복용해도 부작용이 생길 수 있습니다. 증상에 대한 평가가 없는 상태에서 약을 복용할 경우 예상하지 못하는 부작용이 생길 수 있으니 반드시 처방에 따라 용법에 맞게 약을 복용하시는 것이 좋습니다.",정신건강의학과,"요즘 회사땜에 자꾸 화가나서 
친구가 신경안정제라고 평소 복용하는 약을 나눠줘서 받았는데요

생각보다 양이 많아 바보같은 질문인지 모르겠지만
평소에 신경정신과 관련 약을 1도 안먹어본 제가 이거 먹어도 되는지 
궁금해요 안정적인 약인지두요
감사합니다

alpram 0.25mg
depakote 125mp
depakote ER 250mg
lexapro 10mg

입니다~",신경안정제 처방 궁금
18,"안녕하세요. 대한의사협회·네이버 지식iN 상담의사 권용석 입니다.

비만치료 목적으로 처방받으신 식욕억제제의 경우 의존성, 즉 내성과 금단과 같은 현상이 생기기 쉽습니다.그래서 보통 3개월 이내의 단기간 처방을 하는 것이 권고됩니다. 작성하신 글을 보면 일반적인 처방기간보다 길게 약을 드신 것도 있지만 약으로 인한 부작용이 있음에도 중단하지 못한 것도 안타깝습니다.

우선 현재 상황에서 드시던 약을 갑자기 중단하게 되면 금단과 함께 예민해지는 것과 같은 증상이 조금 더 심해질 수 있습니다. 원칙은 서서히 용량을 감량하면서 중단하는 것입니다. 이 때 생기는 예민해짐이나 불면, 기분변화와 같은 것은 그에 맞는 약물 처방을 하면서 완화시키는 것이 필요합니다. 의지만으로는 어려운 상황으로 보이니 가까운 정신건강의학과 방문하시어 전문가의 도움을 받으시는 것이 좋겠습니다.",정신건강의학과,"식욕억제제를 1년 이상 먹었는데요...
지금은 살을 빼려는 목적보다 안먹으면 계속 잠이오고 무기력해지고 아무것도 할수없어서 눈을뜨면 약을 먹고 약이 떨어질때쯤 불안하고 끊어야지 하면서도 불안해서 다시 처방받고 내성이 생긴건지 식욕억제도 잘안되요 ㅠㅠ... 문제는... 약을 먹은뒤로부터 예민해지고 룸메이트가 문을 닫는 소리도 거슬리고 쉽게 화를내고 욱하고 작은 소리에도 신경이 예민해지구요...운전하다가도 난폭운전을 하고 욕도 하구 예전엔... 이러지 않았는데요 ㅠㅠ..배가 부르면 화가 가라앉구요 배가고프면 막화가 나고 다부셔버리고 싶고 물건을 사고 쇼핑을 하고 무언가에 강박적으로 구매를 하고 밤을 새고 누가 뭐라고 하면 어디서 나온자신감인지 미친사람처럼 동네아저씨랑도 소리지르고 싸우고요 ㅠㅠ욱하고 예민하고 꼭제가 무슨일을 저지를것처럼 무서워요...어떻게 해야되나요..ㅠㅠ??",식욕억제제 장기복용 분노조절장애..
19,"안녕하세요. 대한의사협회·네이버 지식iN 상담의사 권용석 입니다.

정신건강의학과 진료 역시 다른 진료과와 마찬가지로 건강보험 적용이 가능합니다. 또한 의료급여의 경우 타진료과와 같은 적용을 받습니다. 다만 방문회수 등에 제한이 있을 수 있으나 일반적인 진료의 경우 큰 제한이 되는 경우는 많지 않습니다. 부담갖지 마시고 가까운 정신건강의학과 방문하시는 것이 좋겠습니다.",정신건강의학과,"보험 적용 되는 치과 치료, 산부인과 치료, 이비인후과 등등 진료들은 다 1000원 밖에 내지 않는데 정신과에 가서 심리상담 같은 것만 받으면 얼마나 나오나요? 다른 검사까지 하면 또 얼마나 나올까요? 정신과 진료도 보험 적용이 돼서 1000원 정도 밖에 안나오나요?",기초생활수급자 정신과 진료비 보험 적용 되나요?
20,"안녕하세요. 대한의사협회·네이버 지식iN 상담의사 권용석 입니다.

에더럴(Adderall)은 암페타민 계열 약물로 국내에서 판매되는 약물중 이 계열은 없습니다.
ADHD 치료약으로 국내에서는 허가받지 않고 있으며, 비슷한 자극제로는 메틸페니데이트 계열 외에는 없습니다.
ADHD 치료용으로는 아토모세틴(atomoxetine),  클로니딘(clonidine)  등의 약물도 사용할 수 있습니다.",정신건강의학과,"애더럴과 비슷한 ad약 있나요?
페니데이트계열말고요",애더럴과 비슷한 ad약...
